city_tepm,global_tepm,country,year,city
24.74,8.17,Saudi Arabia,1843,Riyadh
15.45,7.65,Saudi Arabia,1844,Riyadh
20.82,7.85,Saudi Arabia,1845,Riyadh
24.56,7.98,Saudi Arabia,1848,Riyadh
24.8,7.98,Saudi Arabia,1849,Riyadh
24.34,7.9,Saudi Arabia,1850,Riyadh
25.03,8.18,Saudi Arabia,1851,Riyadh
24.85,8.1,Saudi Arabia,1852,Riyadh
24.93,8.04,Saudi Arabia,1853,Riyadh
24.72,8.21,Saudi Arabia,1854,Riyadh
24.92,8.11,Saudi Arabia,1855,Riyadh
24.57,8,Saudi Arabia,1856,Riyadh
24.26,7.76,Saudi Arabia,1857,Riyadh
25.01,8.1,Saudi Arabia,1858,Riyadh
24.95,8.25,Saudi Arabia,1859,Riyadh
24.94,7.96,Saudi Arabia,1860,Riyadh
24.13,7.85,Saudi Arabia,1861,Riyadh
23.77,7.56,Saudi Arabia,1862,Riyadh
24.28,8.11,Saudi Arabia,1863,Riyadh
25.03,7.98,Saudi Arabia,1864,Riyadh
25.23,8.18,Saudi Arabia,1865,Riyadh
24.92,8.29,Saudi Arabia,1866,Riyadh
25.22,8.44,Saudi Arabia,1867,Riyadh
25,8.25,Saudi Arabia,1868,Riyadh
25.3,8.43,Saudi Arabia,1869,Riyadh
25.02,8.2,Saudi Arabia,1870,Riyadh
24.73,8.12,Saudi Arabia,1871,Riyadh
24.87,8.19,Saudi Arabia,1872,Riyadh
25.24,8.35,Saudi Arabia,1873,Riyadh
24.98,8.43,Saudi Arabia,1874,Riyadh
24.43,7.86,Saudi Arabia,1875,Riyadh
24.89,8.08,Saudi Arabia,1876,Riyadh
25.47,8.54,Saudi Arabia,1877,Riyadh
25.51,8.83,Saudi Arabia,1878,Riyadh
25.24,8.17,Saudi Arabia,1879,Riyadh
24.8,8.12,Saudi Arabia,1880,Riyadh
25.63,8.27,Saudi Arabia,1881,Riyadh
24.66,8.13,Saudi Arabia,1882,Riyadh
25.19,7.98,Saudi Arabia,1883,Riyadh
24.8,7.77,Saudi Arabia,1884,Riyadh
24.98,7.92,Saudi Arabia,1885,Riyadh
24.98,7.95,Saudi Arabia,1886,Riyadh
24.81,7.91,Saudi Arabia,1887,Riyadh
25.13,8.09,Saudi Arabia,1888,Riyadh
25.52,8.32,Saudi Arabia,1889,Riyadh
25.07,7.97,Saudi Arabia,1890,Riyadh
25.39,8.02,Saudi Arabia,1891,Riyadh
25.22,8.07,Saudi Arabia,1892,Riyadh
25.19,8.06,Saudi Arabia,1893,Riyadh
24.66,8.16,Saudi Arabia,1894,Riyadh
24.69,8.15,Saudi Arabia,1895,Riyadh
24.88,8.21,Saudi Arabia,1896,Riyadh
24.86,8.29,Saudi Arabia,1897,Riyadh
24.88,8.18,Saudi Arabia,1898,Riyadh
25.12,8.4,Saudi Arabia,1899,Riyadh
25.29,8.5,Saudi Arabia,1900,Riyadh
25.55,8.54,Saudi Arabia,1901,Riyadh
25.25,8.3,Saudi Arabia,1902,Riyadh
24.64,8.22,Saudi Arabia,1903,Riyadh
25.07,8.09,Saudi Arabia,1904,Riyadh
24.87,8.23,Saudi Arabia,1905,Riyadh
24.85,8.38,Saudi Arabia,1906,Riyadh
24.44,7.95,Saudi Arabia,1907,Riyadh
24.95,8.19,Saudi Arabia,1908,Riyadh
25.57,8.18,Saudi Arabia,1909,Riyadh
24.75,8.22,Saudi Arabia,1910,Riyadh
24.24,8.18,Saudi Arabia,1911,Riyadh
24.96,8.17,Saudi Arabia,1912,Riyadh
24.63,8.3,Saudi Arabia,1913,Riyadh
24.94,8.59,Saudi Arabia,1914,Riyadh
25.38,8.59,Saudi Arabia,1915,Riyadh
24.85,8.23,Saudi Arabia,1916,Riyadh
25.03,8.02,Saudi Arabia,1917,Riyadh
24.66,8.13,Saudi Arabia,1918,Riyadh
25.39,8.38,Saudi Arabia,1919,Riyadh
24.94,8.36,Saudi Arabia,1920,Riyadh
24.84,8.57,Saudi Arabia,1921,Riyadh
25.35,8.41,Saudi Arabia,1922,Riyadh
25.1,8.42,Saudi Arabia,1923,Riyadh
25.69,8.51,Saudi Arabia,1924,Riyadh
25,8.53,Saudi Arabia,1925,Riyadh
25.19,8.73,Saudi Arabia,1926,Riyadh
25.29,8.52,Saudi Arabia,1927,Riyadh
25.39,8.63,Saudi Arabia,1928,Riyadh
25.36,8.24,Saudi Arabia,1929,Riyadh
25.39,8.63,Saudi Arabia,1930,Riyadh
25.38,8.72,Saudi Arabia,1931,Riyadh
24.96,8.71,Saudi Arabia,1932,Riyadh
24.67,8.34,Saudi Arabia,1933,Riyadh
24.97,8.63,Saudi Arabia,1934,Riyadh
25.61,8.52,Saudi Arabia,1935,Riyadh
25.15,8.55,Saudi Arabia,1936,Riyadh
25.08,8.7,Saudi Arabia,1937,Riyadh
25.11,8.86,Saudi Arabia,1938,Riyadh
25.16,8.76,Saudi Arabia,1939,Riyadh
25.51,8.76,Saudi Arabia,1940,Riyadh
25.37,8.77,Saudi Arabia,1941,Riyadh
25.49,8.73,Saudi Arabia,1942,Riyadh
24.96,8.76,Saudi Arabia,1943,Riyadh
25.6,8.85,Saudi Arabia,1944,Riyadh
25.3,8.58,Saudi Arabia,1945,Riyadh
25.49,8.68,Saudi Arabia,1946,Riyadh
26,8.8,Saudi Arabia,1947,Riyadh
24.85,8.75,Saudi Arabia,1948,Riyadh
24.82,8.59,Saudi Arabia,1949,Riyadh
24.98,8.37,Saudi Arabia,1950,Riyadh
26.1,8.63,Saudi Arabia,1951,Riyadh
25.72,8.64,Saudi Arabia,1952,Riyadh
25.51,8.87,Saudi Arabia,1953,Riyadh
25.8,8.56,Saudi Arabia,1954,Riyadh
25.33,8.63,Saudi Arabia,1955,Riyadh
25.02,8.28,Saudi Arabia,1956,Riyadh
24.69,8.73,Saudi Arabia,1957,Riyadh
25.64,8.77,Saudi Arabia,1958,Riyadh
24.14,8.73,Saudi Arabia,1959,Riyadh
25.67,8.58,Saudi Arabia,1960,Riyadh
25.12,8.8,Saudi Arabia,1961,Riyadh
26.1,8.75,Saudi Arabia,1962,Riyadh
25.54,8.86,Saudi Arabia,1963,Riyadh
25.14,8.41,Saudi Arabia,1964,Riyadh
25.59,8.53,Saudi Arabia,1965,Riyadh
26.16,8.6,Saudi Arabia,1966,Riyadh
24.87,8.7,Saudi Arabia,1967,Riyadh
25.21,8.52,Saudi Arabia,1968,Riyadh
26.05,8.6,Saudi Arabia,1969,Riyadh
25.84,8.7,Saudi Arabia,1970,Riyadh
24.93,8.6,Saudi Arabia,1971,Riyadh
24.74,8.5,Saudi Arabia,1972,Riyadh
25.6,8.95,Saudi Arabia,1973,Riyadh
25.4,8.47,Saudi Arabia,1974,Riyadh
25.04,8.74,Saudi Arabia,1975,Riyadh
24.97,8.35,Saudi Arabia,1976,Riyadh
25.99,8.85,Saudi Arabia,1977,Riyadh
25.95,8.69,Saudi Arabia,1978,Riyadh
26.2,8.73,Saudi Arabia,1979,Riyadh
25.83,8.98,Saudi Arabia,1980,Riyadh
25.95,9.17,Saudi Arabia,1981,Riyadh
24.62,8.64,Saudi Arabia,1982,Riyadh
24.85,9.03,Saudi Arabia,1983,Riyadh
25.05,8.69,Saudi Arabia,1984,Riyadh
25.3,8.66,Saudi Arabia,1985,Riyadh
25.36,8.83,Saudi Arabia,1986,Riyadh
26.37,8.99,Saudi Arabia,1987,Riyadh
25.99,9.2,Saudi Arabia,1988,Riyadh
25.05,8.92,Saudi Arabia,1989,Riyadh
25.7,9.23,Saudi Arabia,1990,Riyadh
25.43,9.18,Saudi Arabia,1991,Riyadh
24.37,8.84,Saudi Arabia,1992,Riyadh
25.42,8.87,Saudi Arabia,1993,Riyadh
26.08,9.04,Saudi Arabia,1994,Riyadh
25.64,9.35,Saudi Arabia,1995,Riyadh
26.28,9.04,Saudi Arabia,1996,Riyadh
25.49,9.2,Saudi Arabia,1997,Riyadh
26.73,9.52,Saudi Arabia,1998,Riyadh
26.92,9.29,Saudi Arabia,1999,Riyadh
26.55,9.2,Saudi Arabia,2000,Riyadh
26.67,9.41,Saudi Arabia,2001,Riyadh
26.44,9.57,Saudi Arabia,2002,Riyadh
26.62,9.53,Saudi Arabia,2003,Riyadh
26.2,9.32,Saudi Arabia,2004,Riyadh
26.27,9.7,Saudi Arabia,2005,Riyadh
26.24,9.53,Saudi Arabia,2006,Riyadh
26.49,9.73,Saudi Arabia,2007,Riyadh
26.21,9.43,Saudi Arabia,2008,Riyadh
26.71,9.51,Saudi Arabia,2009,Riyadh
27.37,9.7,Saudi Arabia,2010,Riyadh
26.4,9.52,Saudi Arabia,2011,Riyadh
26.83,9.51,Saudi Arabia,2012,Riyadh
27.78,9.61,Saudi Arabia,2013,Riyadh
